"Date","SCHH.Open","SCHH.High","SCHH.Low","SCHH.Close","SCHH.Volume","SCHH.Adjusted"
2016-12-28,40.73,40.75,40.225,40.040001,580400,39.696396
2016-12-29,40.487,40.962,40.336,40.490002,672400,40.142536
2016-12-30,41.002,41.486,40.719,41.040001,708700,40.687813
2017-01-03,41.647,41.657,41.163,41.139999,1042700,40.786953
2017-01-04,41.819,42.152,41.496,41.73,1202300,41.371891
2017-01-05,41.879,42.212,41.476,41.810001,696300,41.451206
2017-01-06,42.061,42.404,41.97,41.860001,496500,41.500778
2017-01-09,42.333,42.333,41.789,41.470001,891600,41.114124
2017-01-10,41.799,41.799,41.355,41.040001,715500,40.687813
2017-01-11,41.385,41.567,41.042,40.73,733100,40.380474
2017-01-12,41.153,41.264,40.679,40.900002,572300,40.549015
2017-01-13,41.234,41.355,41.062,40.810001,371300,40.459789
2017-01-17,41.355,41.506,41.244,41.139999,778600,40.786953
2017-01-18,41.425,41.728,41.395,41.240002,498100,40.886101
2017-01-19,41.425,41.496,41.062,40.810001,627200,40.459789
2017-01-20,41.204,41.486,41.052,41.119999,539600,40.767128
2017-01-23,41.496,41.839,41.395,41.41,849900,41.054638
2017-01-24,41.758,41.96,41.587,41.389999,562400,41.034813
2017-01-25,41.758,41.849,41.345,41.110001,567000,40.757214
2017-01-26,41.476,41.668,41.325,41.02,796200,40.667984
2017-01-27,41.425,41.617,40.78,40.59,554200,40.241676
2017-01-30,40.84,40.901,40.548,40.330002,478800,39.983906
2017-01-31,40.709,41.284,40.709,40.66,852400,40.311073
2017-02-01,40.992,41.244,40.467,40.139999,760000,39.795536
2017-02-02,40.498,41.002,40.498,40.59,570100,40.241676
2017-02-03,41.284,41.355,41.002,40.82,399100,40.469704
2017-02-06,41.274,41.274,41.002,40.75,591400,40.400303
2017-02-07,41.173,41.274,40.84,40.529999,598400,40.18219
2017-02-08,40.881,41.355,40.881,40.900002,395500,40.549015
2017-02-09,41.254,41.425,41.204,40.990002,931600,40.638245
2017-02-10,41.385,41.668,41.294,41.290001,746400,40.935669
