"Date","SCHA.Open","SCHA.High","SCHA.Low","SCHA.Close","SCHA.Volume","SCHA.Adjusted"
2012-11-08,39.291,39.388,38.775,36.040001,125000,33.49815
2012-11-09,38.624,39.108,38.409,36.080002,148500,33.535343
2012-11-12,38.99,38.99,38.689,36.049999,88100,33.507462
2012-11-13,38.57,38.925,38.484,35.82,87900,33.293671
2012-11-14,38.646,38.732,37.763,35.18,392200,32.698807
2012-11-15,37.763,37.968,37.387,35.029999,259200,32.559387
2012-11-16,37.688,38.054,37.387,35.299999,177800,32.810349
2012-11-19,38.452,38.775,38.398,36.02,154400,33.479568
2012-11-20,38.742,38.904,38.549,36.130001,76100,33.58181
2012-11-21,38.958,39.097,38.829,36.32,53200,33.758411
2012-11-23,39.194,39.506,39.173,36.720001,42200,34.130188
2012-11-26,39.431,39.582,39.28,36.779999,177400,34.185963
2012-11-27,39.571,39.786,39.506,36.740002,76900,34.148788
2012-11-28,39.356,39.786,39.022,36.98,277000,34.371864
2012-11-29,40.141,40.259,39.926,37.369999,145300,34.734352
2012-11-30,40.281,40.292,39.99,37.310001,122300,34.678593
2012-12-03,40.432,40.453,39.947,37.209999,117900,34.585632
2012-12-04,40.109,40.184,39.851,37.299999,89300,34.669292
2012-12-05,40.302,40.302,39.808,37.27,100800,34.641411
2012-12-06,40.098,40.27,39.98,37.349998,169700,34.715759
2012-12-07,40.378,40.389,40.077,37.400002,116900,34.762238
2012-12-10,40.259,40.453,40.227,37.57,125400,34.920246
2012-12-11,40.711,40.851,40.614,37.900002,207700,35.226974
2012-12-12,40.883,40.97,40.539,37.73,172000,35.06897
2012-12-13,40.604,40.744,40.249,37.5,91700,34.855186
2012-12-14,40.281,40.485,40.206,37.459999,88400,34.818008
2012-12-17,40.442,40.765,40.389,37.889999,166300,35.217682
2012-12-18,40.883,41.4,40.83,38.439999,159600,35.728889
2012-12-19,41.475,41.604,41.314,38.490002,171400,35.775364
2012-12-20,41.421,41.637,41.314,38.689999,207700,35.96125
2012-12-21,40.937,41.378,40.883,38.439999,215500,35.728889
2012-12-24,40.51,40.606,40.35,37.93,59900,35.579735
2012-12-26,40.553,40.595,40.18,37.709999,488700,35.373375
2012-12-27,40.233,40.318,39.679,37.650002,687800,35.317089
2012-12-28,39.913,40.233,39.871,37.450001,231800,35.129482
2012-12-31,39.924,40.713,39.807,38.119999,320500,35.757961
2013-01-02,41.917,41.917,41.502,39.18,1041700,36.752285
2013-01-03,41.864,42.077,41.683,39.209999,278600,36.780426
2013-01-04,41.981,42.173,41.8,39.459999,382700,37.014935
2013-01-07,41.907,42.045,41.864,39.380001,334200,36.939896
2013-01-08,41.96,42.003,41.704,39.259998,150200,36.827332
2013-01-09,41.981,42.099,41.939,39.450001,168300,37.005562
2013-01-10,42.205,42.386,41.896,39.52,662200,37.07122
2013-01-11,42.099,42.152,41.907,39.470001,147700,37.024319
2013-01-14,41.992,42.173,41.981,39.52,167700,37.07122
2013-01-15,41.928,42.397,41.875,39.73,271800,37.268211
2013-01-16,42.258,42.365,42.152,39.639999,272600,37.183781
2013-01-17,42.461,42.738,42.44,40,205300,37.521477
2013-01-18,42.664,42.802,42.536,40.130001,218600,37.643425
2013-01-22,42.791,43.09,42.706,40.419998,277200,37.915447
2013-01-23,43.069,43.111,42.941,40.310001,311800,37.812279
2013-01-24,43.026,43.357,42.951,40.43,220300,37.924828
2013-01-25,43.346,43.452,43.175,40.73,301700,38.206238
2013-01-28,43.527,43.57,43.175,40.779999,370900,38.253143
2013-01-29,43.463,43.495,43.293,40.75,329500,38.225006
2013-01-30,43.42,43.442,42.866,40.330002,262800,37.831036
2013-01-31,42.941,43.303,42.877,40.540001,200700,38.028015
2013-02-01,43.42,43.794,43.367,40.950001,228300,38.412613
2013-02-04,43.602,43.602,43.111,40.509998,302000,37.999878
2013-02-05,43.399,43.666,43.335,40.860001,270100,38.32819
2013-02-06,43.367,43.762,43.335,41.049999,208200,38.506413
2013-02-07,43.762,43.815,43.388,40.98,174100,38.44075
2013-02-08,43.772,44.028,43.708,41.259998,142300,38.703407
