"Date","MBG.Open","MBG.High","MBG.Low","MBG.Close","MBG.Volume","MBG.Adjusted"
2012-07-11,31.858,31.858,31.858,27.77,2200,24.206228
2012-07-12,31.847,31.95,31.847,27.77,14600,24.206228
2012-07-13,31.916,31.939,31.836,27.84,2600,24.267241
2012-07-16,31.858,31.893,31.801,27.719999,9300,24.162651
2012-07-17,31.939,31.939,31.916,27.83,500,24.25853
2012-07-18,31.962,31.962,31.881,27.860001,2900,24.284679
2012-07-19,31.985,31.985,31.893,27.860001,3100,24.284679
2012-07-20,31.985,31.985,31.916,27.83,2500,24.25853
2012-07-23,31.996,31.996,31.916,27.870001,12800,24.293398
2012-07-24,31.996,32.008,31.95,27.879999,10100,24.302116
2012-07-25,31.996,32.008,31.939,27.84,10900,24.267241
2012-07-26,31.985,32.019,31.973,27.91,2200,24.328262
2012-07-27,31.973,31.996,31.95,27.889999,1500,24.310835
2012-07-30,31.973,31.973,31.927,27.84,3100,24.267241
2012-07-31,31.985,32.031,31.95,27.92,5000,24.336979
2012-08-01,31.932,32.012,31.909,27.9,2000,24.333492
2012-08-02,32.024,32.024,31.817,27.809999,19400,24.255003
2012-08-03,31.909,31.92,31.817,27.75,100500,24.202665
2012-08-06,31.852,31.92,31.84,27.84,8600,24.281166
2012-08-07,31.829,31.863,31.794,27.75,13600,24.202665
2012-08-08,31.817,31.817,31.817,27.75,0,24.202665
2012-08-09,31.909,31.909,31.875,27.82,22100,24.263716
2012-08-10,31.886,31.966,31.875,27.84,6400,24.281166
2012-08-13,31.955,31.955,31.886,27.83,10200,24.27244
2012-08-14,31.76,31.898,31.76,27.82,1300,24.263716
2012-08-15,31.726,31.737,31.657,27.610001,12400,24.080561
2012-08-16,31.668,31.748,31.645,27.68,9100,24.141611
2012-08-17,31.645,31.737,31.645,27.639999,34900,24.106724
2012-08-20,31.726,31.726,31.726,27.67,700,24.132889
2012-08-21,31.668,31.714,31.657,27.66,2500,24.124174
2012-08-22,31.806,31.817,31.68,27.74,33600,24.193937
2012-08-23,31.875,31.886,31.783,27.809999,58000,24.255003
2012-08-24,31.829,31.829,31.829,27.76,100,24.211382
2012-08-27,31.829,31.829,31.829,27.76,0,24.211382
2012-08-28,31.863,31.863,31.76,27.73,2200,24.185217
2012-08-29,31.852,31.852,31.817,27.75,1300,24.202665
2012-08-30,31.84,31.852,31.783,27.780001,5100,24.228834
2012-08-31,31.852,31.852,31.852,27.780001,0,24.228834
2012-09-04,31.931,31.931,31.816,27.780001,2500,24.238428
2012-09-05,31.908,31.908,31.828,27.77,12500,24.229706
2012-09-06,31.862,31.862,31.805,27.77,2800,24.229706
2012-09-07,31.851,31.885,31.851,27.799999,3500,24.255882
2012-09-10,31.885,31.885,31.77,27.74,7500,24.203529
2012-09-11,31.873,31.873,31.736,27.809999,17000,24.264603
2012-09-12,31.828,31.851,31.828,27.780001,3400,24.238428
2012-09-13,31.885,32,31.828,27.92,3100,24.360577
2012-09-14,31.988,31.988,31.873,27.860001,5400,24.308233
2012-09-17,31.862,31.954,31.862,27.870001,3600,24.316959
2012-09-18,31.965,31.965,31.862,27.870001,6400,24.316959
2012-09-19,32.022,32.022,31.908,27.870001,9000,24.316959
2012-09-20,32.011,32.011,31.942,27.9,9800,24.34313
2012-09-21,31.988,32.022,31.851,27.93,13300,24.369303
2012-09-24,31.988,32.034,31.988,27.950001,5800,24.386757
2012-09-25,31.999,32.045,31.999,27.959999,3600,24.395481
2012-09-26,32.103,32.103,32.034,27.98,1600,24.412928
2012-09-27,32.045,32.045,31.988,27.91,12300,24.351851
2012-09-28,31.965,32.011,31.965,27.93,200,24.369303
2012-10-01,32.049,32.049,31.991,27.92,6600,24.366688
2012-10-02,31.923,32.014,31.923,27.9,46400,24.349241
2012-10-03,31.991,31.991,31.946,27.879999,2600,24.331774
2012-10-04,31.9,31.934,31.9,27.870001,1700,24.32305
2012-10-05,31.969,31.98,31.969,27.91,600,24.357956
2012-10-08,31.969,32.003,31.957,27.92,19400,24.366688
2012-10-09,31.969,31.969,31.865,27.82,9700,24.279411
2012-10-10,31.831,31.946,31.774,27.809999,23900,24.270695
2012-10-11,31.888,31.9,31.82,27.799999,3200,24.261959
2012-10-12,31.843,31.911,31.831,27.85,1400,24.305586
2012-10-15,31.82,31.831,31.797,27.75,1400,24.218325
2012-10-16,31.854,31.854,31.808,27.780001,1300,24.244505
2012-10-17,31.82,31.82,31.808,27.76,800,24.227058
2012-10-18,31.785,31.797,31.751,27.75,3200,24.218325
2012-10-19,31.831,31.831,31.82,27.77,600,24.235779
2012-10-22,31.774,31.843,31.774,27.74,4700,24.209597
2012-10-23,31.774,31.843,31.774,27.74,3200,24.209597
2012-10-24,31.797,31.797,31.797,27.75,3400,24.218325
2012-10-25,31.739,31.797,31.739,27.75,1700,24.218325
2012-10-26,31.843,31.843,31.797,27.75,1900,24.218325
2012-10-31,31.888,31.888,31.831,27.780001,5500,24.244505
2012-11-01,31.774,31.843,31.682,27.709999,141800,24.183414
2012-11-02,31.705,31.82,31.705,27.77,2900,24.235779
2012-11-05,31.762,31.877,31.762,27.75,2200,24.218325
2012-11-06,31.831,31.843,31.831,27.790001,400,24.253231
2012-11-07,31.797,31.808,31.785,27.76,2200,24.227058
2012-11-08,31.82,31.82,31.82,27.77,5000,24.235779
2012-11-09,31.797,31.797,31.774,27.74,10400,24.209597
2012-11-12,31.739,31.739,31.716,27.68,1200,24.15724
2012-11-13,31.762,31.762,31.716,27.68,17200,24.15724
2012-11-14,31.671,31.682,31.59,27.57,42400,24.06123
2012-11-15,31.705,31.716,31.602,27.629999,17600,24.113588
2012-11-16,31.739,31.739,31.625,27.639999,18400,24.122316
2012-11-19,31.659,31.682,31.659,27.629999,1500,24.113588
2012-11-20,31.659,31.762,31.659,27.65,30200,24.13105
2012-11-21,31.625,31.636,31.625,27.6,1500,24.087414
2012-11-23,31.625,31.625,31.625,27.6,500,24.087414
2012-11-26,31.671,31.671,31.636,27.610001,1700,24.09613
2012-11-27,31.648,31.671,31.648,27.620001,4000,24.104868
2012-11-28,31.659,31.671,31.659,27.629999,1400,24.113588
2012-11-29,31.659,31.785,31.659,27.690001,9300,24.165964
2012-11-30,31.774,31.785,31.694,27.66,1500,24.139776
2012-12-03,31.642,31.665,31.642,27.639999,1100,24.12668
2012-12-04,31.757,31.802,31.688,27.76,1100,24.23143
2012-12-05,31.734,31.768,31.722,27.73,2000,24.205248
2012-12-06,31.814,31.837,31.734,27.74,19100,24.213978
2012-12-07,31.699,31.722,31.699,27.68,1000,24.161598
2012-12-10,31.814,31.814,31.745,27.77,21600,24.24016
2012-12-11,31.722,31.757,31.711,27.68,9300,24.161598
2012-12-12,31.779,31.802,31.711,27.709999,5700,24.187786
2012-12-13,31.757,31.802,31.722,27.74,3800,24.213978
2012-12-14,31.734,31.734,31.699,27.690001,6300,24.170326
2012-12-17,31.745,31.745,31.676,27.700001,1600,24.179058
2012-12-18,31.722,31.745,31.676,27.690001,5300,24.170326
2012-12-19,31.711,31.779,31.711,27.74,2200,24.213978
2012-12-20,31.745,31.745,31.722,27.690001,1800,24.170326
2012-12-21,31.734,31.779,31.734,27.73,6100,24.205248
2012-12-24,31.757,31.757,31.757,27.719999,200,24.19652
2012-12-26,31.745,31.802,31.734,27.75,37600,24.2227
2012-12-27,31.141,31.209,30.758,27.299999,565100,24.221813
2012-12-28,30.792,30.803,30.792,27.33,2200,24.248434
